,d,indep,Linearity,log_n_components,log_hidden_size,value,Time
160,100,1,Non-linear,3.0,2.0,-0.5244851112365723,307.8327889442444
161,100,1,Non-linear,4.0,2.0,2.3576362133026123,567.4082679748535
162,100,1,Non-linear,6.0,2.0,-1.179623007774353,282.1797637939453
163,100,1,Non-linear,8.0,2.0,-0.8286401033401489,285.0667998790741
164,100,1,Non-linear,7.0,2.0,-0.5616783499717712,314.8107421398163
165,100,1,Non-linear,8.0,2.0,-0.5413893461227417,308.5485382080078
166,100,1,Non-linear,8.0,2.0,0.227407768368721,333.1546747684479
167,100,0,Non-linear,3.0,2.0,1.381433129310608,430.10937905311584
168,100,1,Non-linear,4.0,2.0,-0.5618191957473755,344.25199604034424
169,100,1,Non-linear,6.0,2.0,0.042332809418439865,488.5360689163208
170,100,1,Non-linear,5.0,2.0,4.8829498291015625,822.348552942276
171,100,1,Non-linear,7.0,2.0,-0.36136898398399353,307.3708038330078
172,100,0,Non-linear,6.0,2.0,0.8840551376342773,434.2797040939331
173,100,0,Non-linear,5.0,2.0,-0.2065788209438324,311.10790967941284
174,100,0,Non-linear,6.0,2.0,1.2194300889968872,411.75490403175354
175,100,0,Non-linear,7.0,2.0,-2.013896942138672,255.0005030632019
176,100,0,Non-linear,4.0,2.0,0.05909755080938339,328.2331922054291
177,100,0,Non-linear,6.0,2.0,-0.03846015781164169,351.93106031417847
178,100,0,Non-linear,8.0,2.0,-1.8312361240386963,265.5105469226837
179,100,0,Non-linear,7.0,3.0,-0.10345734655857086,320.5910630226135
180,100,1,Non-linear,7.0,2.0,-1.0462430715560913,293.12225580215454
181,100,1,Non-linear,8.0,3.0,4.847704887390137,827.4515399932861
182,100,1,Non-linear,8.0,2.0,-0.9844908714294434,308.25052285194397
183,100,1,Non-linear,7.0,2.0,0.057204462587833405,363.6059019565582
184,100,0,Non-linear,3.0,3.0,1.3215075731277466,386.09924507141113
185,100,0,Non-linear,3.0,2.0,0.011883257888257504,382.42298889160156
186,100,0,Non-linear,7.0,2.0,0.5723788142204285,345.46447014808655
187,100,0,Non-linear,8.0,2.0,0.3199038803577423,241.06500577926636
188,100,0,Non-linear,5.0,5.0,-0.18288704752922058,276.0436177253723
189,100,0,Non-linear,8.0,3.0,0.11766636371612549,360.4880621433258
190,100,0,Non-linear,8.0,2.0,-0.005838803946971893,155.64685916900635
191,100,0,Non-linear,5.0,2.0,0.1743096113204956,120.20535397529602
192,100,0,Non-linear,5.0,2.0,-0.33441388607025146,290.8940649032593
193,100,0,Non-linear,4.0,2.0,0.7874636650085449,257.42875385284424
194,100,0,Non-linear,8.0,2.0,-0.6374279856681824,109.1582682132721
195,100,0,Non-linear,3.0,5.0,0.3721136450767517,96.29573488235474
196,100,0,Non-linear,6.0,2.0,0.25979405641555786,309.71650099754333
197,100,0,Non-linear,7.0,2.0,-0.19155769050121307,171.95384287834167
198,100,0,Non-linear,8.0,2.0,0.153682678937912,111.86530208587646
199,100,0,Non-linear,4.0,2.0,-0.04394111782312393,60.59699511528015
